,Unnamed: 0,title,lprice,category1,category2,title_bertWP
1246,518,아디다스 에센셜 3S 프렌치 테리 와이드 팬츠 HZ5747,59650,패션의류,여성의류,아디다스 에센셜 3S 프렌치 테리 와이드 팬츠 HZ ##5 ##74 ##7
1247,279,폴햄 패딩 조끼 커플 겨울 경량 여성 라이트 구스 넥,17900,패션의류,여성의류,폴햄 패딩 조끼 커플 겨울 경량 여성 라이트 구스 넥
1248,1259,로지텍 로지텍G G304 LIGHTSPEED WIRELESS,38210,디지털/가전,주변기기,로지텍 로지텍G G304 LIGHTSPEED WIRELESS
1249,525,캘빈클라인 언더웨어 CK 남성 코튼 스트레치 팬티 속옷 로우라이즈 드로즈 3팩 세트 NB2614-001,14900,패션의류,남성언더웨어/잠옷,캘빈클라인 언더웨어 CK 남성 코튼 스트레치 팬티 속옷 로우 ##라이즈 드로즈 3팩 세트 NB ##26 ##14 - 001
1250,1032,아이엠듀 아이폰 보조배터리 8핀 일체형 C타입 충전형 5000mAh,9400,디지털/가전,휴대폰액세서리,아이엠듀 아이폰 보조배터리 8핀 일체형 C타입 충전 ##형 5000mAh
1251,1562,지클릭커 쓸떼많은 다쿠아즈 무소음 무선 블루투스 마우스,14260,디지털/가전,주변기기,지클릭커 쓸 ##떼 ##많 ##은 다 ##쿠 ##아 ##즈 무소음 무선 블루투스 마우스
1252,1803,삼성전자 갤럭시 버즈2 프로 SM-R510,139900,디지털/가전,음향가전,삼성전자 갤럭시 버즈2 프로 SM - R510
1253,143,COVERNAT RDS 씨빅 숏 푸퍼,135950,패션의류,남성의류,CO ##VE ##R ##N ##AT RDS 씨빅 숏 푸퍼
1254,1406,삼성전자 갤럭시북4 울트라 NT960XGP-G72A,2989000,디지털/가전,노트북,삼성전자 갤럭시북4 울트라 NT960X ##GP - G7 ##2 ##A
1255,1281,로데 Wireless GO II,348000,디지털/가전,카메라/캠코더용품,로 ##데 Wireless GO II
1256,164,아미 하트 로고 맨투맨 BFUSW001-730-001,77770,패션의류,남성의류,아미 하트 로고 맨투맨 BF ##US ##W ##001 - 730 - 001
1257,708,제로스트릿 CHECK KNIT SWEATER,35000,패션의류,여성의류,제로스트릿 CHECK K ##NI ##T SW ##EA ##TER
1258,1667,맥머트 아이패드 갤럭시탭 거치대 태블릿 거치대 태블릿암 관절형 침대 책상,29700,디지털/가전,태블릿PC액세서리,맥 ##머 ##트 아이패드 갤럭시탭 거치대 태블릿 거치대 태블릿 ##암 관 ##절 ##형 침대 책 ##상
1259,1962,닌텐도 젤다의 전설 티어스 오브 더 킹덤 (SWITCH),63870,디지털/가전,게임기/타이틀,닌텐도 젤 ##다 ##의 전 ##설 티 ##어스 오브 더 킹 ##덤 ( SWITCH )
1260,145,비너스 C컵D컵E컵F컵 빅사이즈 풀컵 큰컵 브라 속옷,13900,패션의류,여성언더웨어/잠옷,비너스 C ##컵 ##D컵E컵 ##F ##컵 빅사이즈 풀컵 큰컵 브라 속옷
1261,678,리스트 A라인 더블 브레스트 원피스 DN TWWOPN50010,38500,패션의류,여성의류,리스트 A라인 더블 브레 ##스트 원피스 D ##N TWWOP ##N500 ##10
1262,1168,로지텍 로지텍G G913 Wireless 클릭키,205270,디지털/가전,주변기기,로지텍 로지텍G G913 Wireless 클릭키
1263,1007,DJI Osmo Pocket 3 크리에이터 콤보,834000,디지털/가전,카메라/캠코더용품,DJI Osmo Pocket 3 크리에 ##이터 콤보
1264,1886,코닥 Daylight,23000,디지털/가전,카메라/캠코더용품,코닥 D ##ay ##light
1265,584,데상트 캐논 구스 롱다운 자켓 SO323UDJ91,400960,패션의류,남성의류,데 ##상 ##트 캐논 구스 롱다운 자켓 SO ##323 ##UD ##J ##91
1266,209,겨울 여자슬랙스 기모 와이드팬츠 세미와이드 슬랙스 키작녀바지,21900,패션의류,여성의류,겨울 여자슬랙스 기모 와이드팬츠 세미와이드 슬랙스 키작녀바지
1267,773,막스 테디베어 양모코트 디자이너 자체제작 양모100% 루즈핏 퍼코트,350000,패션의류,여성의류,막스 테 ##디 ##베 ##어 양모 ##코트 디자 ##이너 자체제작 양모100 % 루즈핏 퍼 ##코트
1268,62,내셔널지오그래픽 문자크 코듀로이 숏 다운 N214UDW940,140150,패션의류,남성의류,내셔널지오그래픽 문 ##자크 코듀로이 숏 다운 N214UDW ##94 ##0
1269,347,르샵 이너 탈부착 트렌치형 패딩 점퍼 a TLAPD470,82800,패션의류,여성의류,르샵 이너 탈부착 트렌치 ##형 패딩 점퍼 a TL ##A ##PD ##4 ##70
1270,337,JAJU 여 21수 플란넬 체크 파자마 세트,35340,패션의류,여성언더웨어/잠옷,JAJU 여 21 ##수 플란넬 체크 파자마 세트
1271,174,10만원인하 COLMAR 콜마르 23FW 남성 쉐도우 헤비 구스다운,194680,패션의류,남성의류,10 ##만원인하 COLMAR 콜마르 23FW 남성 쉐도우 헤비 구스다운
1272,622,올리브데올리브 벨티드 폭스 후드 퍼 구스다운 OP3XM1000,115810,패션의류,여성의류,올리브데올리브 벨티드 폭스 후드 퍼 구스다운 OP3X ##M ##1000
1273,1939,헤몬 쉐이버 전기 전동 면도기 남자 휴대용,29800,디지털/가전,이미용가전,헤 ##몬 쉐 ##이 ##버 전기 전 ##동 면도기 남자 휴대용
1274,941,폴로 랄프로렌 여성 라운드넥 꽈배기 니트 스웨터,99000,패션의류,여성의류,폴로 랄프로렌 여성 라운드넥 꽈배기 니트 스웨터
1275,1682,LG전자 스탠바이미 Go 2023 LED FHD 68cm (27LX5QKNA),925790,디지털/가전,영상가전,LG전자 스탠바이미 Go 2023 LED FHD 68cm ( 27 ##LX ##5 ##Q ##K ##N ##A )
1276,648,라벨르 FAUX 밍크퍼 후드 점퍼,57270,패션의류,여성의류,라벨 ##르 FAUX 밍크퍼 후드 점퍼
