,title,lprice,category1,category2,title_sentencePiece,title_bertWP
108,아이폰 15 프로 128GB [ 자급제 ],1441500,디지털/가전,휴대폰,▁아 이 폰 ▁15 ▁프로 ▁1 28 G B ▁[ ▁자 급 제 ▁ ],아이폰 15 프로 128GB [ 자급제 ]
109,삼성전자 갤럭시탭 갤럭시탭S7 FE (SM-T733N) Wi-Fi 64GB,499000,디지털/가전,태블릿PC,▁삼 성 전 자 ▁ <unk> <unk> 시 탭 ▁ <unk> <unk> 시 탭 S 7 ▁F E ▁( S M - T 7 33 N ) ▁W i - F i ▁6 4 G B,삼성전자 갤럭시탭 갤럭시탭S7 FE ( SM - T733N ) Wi - Fi 64GB
110,에디션 스탠카라 퀼팅 패딩 점퍼 3종 NED4JJ1901,28720,패션의류,남성의류,▁에디션 ▁스탠카라 ▁퀼팅 ▁패딩 ▁점퍼 ▁3종 ▁NE D4 JJ 1901,에디션 스탠카라 퀼팅 패딩 점퍼 3종 NE ##D4 ##JJ ##190 ##1
111,모르간 89900원 MORGAN 뉴 코듀로이 재킷 269733,46380,패션의류,여성의류,▁모르간 ▁89900원 ▁MORGAN ▁뉴 ▁코듀로이 ▁재킷 ▁2 69 7 33,모르간 89900원 MORGAN 뉴 코듀로이 재킷 2 ##69 ##73 ##3
112,코닥 컬러플러스 200-36장,15980,디지털/가전,카메라/캠코더용품,▁코 닥 ▁ 컬러 플 러 스 ▁2 00 - 36 장,코닥 컬러 ##플러스 200 - 36장
113,프로젝트엠 여성 크롭 덕다운 패딩점퍼 EPD4JD2600,55630,패션의류,여성의류,▁프로젝트엠 ▁여성 ▁크롭 ▁덕다운 ▁패딩점퍼 ▁EPD4JD 26 00,프로젝트엠 여성 크롭 덕다운 패딩점퍼 EPD4JD ##26 ##00
114,제닉스 STORMX VM3 무선 버티컬마우스,37740,디지털/가전,주변기기,▁제 닉 스 ▁ST OR M X ▁V M 3 ▁무 선 ▁버 티 컬 마 우 스,제닉스 STORMX V ##M3 무선 버 ##티 ##컬 ##마우스
115,아이폰 15 프로 256GB [ 자급제 ],1581000,디지털/가전,휴대폰,▁아 이 폰 ▁15 ▁프로 ▁2 56 G B ▁[ ▁자 급 제 ▁ ],아이폰 15 프로 256GB [ 자급제 ]
116,LG전자 LG그램 14ZD90S-GX56K,1530000,디지털/가전,노트북,▁L G 전 자 ▁L G 그 램 ▁1 4 Z D 90 S - G X 56 K,LG전자 LG그램 14 ##ZD90 ##S - GX56K
117,DJI Osmo Pocket 3,649000,디지털/가전,카메라/캠코더용품,▁D J I ▁O s m o ▁P o c k et ▁3,DJI Osmo Pocket 3
118,파인디지털 파인뷰 X7000 POWER Wi-Fi (2채널),249000,디지털/가전,자동차기기,▁파 인 디 지 털 ▁파 인 <unk> ▁ X 7 000 ▁P O W ER ▁W i - F i ▁( 2 <unk> 널 ),파인디지털 파인뷰 X ##7000 POWER Wi - Fi ( 2채널 )
119,DDUNGK 심리스 요가 레깅스 무봉제 t팬티 티팬티,2700,패션의류,여성언더웨어/잠옷,▁DD U NG K ▁심리스 ▁요가 ▁레깅스 ▁무봉제 ▁ t 팬티 ▁티 팬티,DD ##UN ##GK 심리스 요가 레깅스 무봉제 t ##팬티 티 ##팬티
120,남자 조거팬츠 남성카고바지 기모 면 조커팬츠 바지 빅사이즈,21900,패션의류,남성의류,▁남자 ▁조거팬츠 ▁남성 카 고 바지 ▁기모 ▁면 ▁조 커 팬츠 ▁바지 ▁빅사이즈,남자 조거팬츠 남성 ##카 ##고 ##바지 기모 면 조 ##커 ##팬츠 바지 빅사이즈
121,디씨네트워크 무지 게이밍 마우스 장패드 5mm,5600,디지털/가전,PC액세서리,▁디 씨 네 트 워 크 ▁무지 ▁ 게 이 밍 ▁마 우 스 ▁장 패 드 ▁5 m m,디씨네트워크 무지 게이밍 마우스 장패드 5mm
122,라코스테 남성 반집업 카라 풀오버 AH201E 53N,131670,패션의류,남성의류,▁라코스테 ▁남성 ▁반집업 ▁카라 ▁풀오버 ▁AH 201 E ▁53N,라코스테 남성 반집업 카라 풀오버 AH ##201 ##E 53N
123,QCY H4,36750,디지털/가전,음향가전,▁ Q CY ▁H 4,QCY H4
124,EFM네트웍스 아이피타임 N604E 유무선공유기,19900,디지털/가전,네트워크장비,▁E F M 네 트 <unk> 스 ▁아 이 피 타 임 ▁N 6 04 E ▁유 무 선 공 유 기,EFM네트웍스 아이피타임 N ##60 ##4E 유무선 ##공 ##유기
125,ISK 플라핏 갤럭시 Z 플립5 보에드 플랩 링 카드 힌지보호 케이스,28000,디지털/가전,휴대폰액세서리,▁I SK ▁플 라 핏 ▁ <unk> <unk> 시 ▁Z ▁플 립 5 ▁보 에 드 ▁플랩 ▁ 링 ▁카 드 ▁ <unk> 지 보 호 ▁케이 스,ISK 플라핏 갤럭시 Z 플립5 보 ##에 ##드 플랩 링 카드 힌지보호 케이스
126,팅크웨어 아이나비 QXD8000mini,279000,디지털/가전,자동차기기,▁ 팅 크 웨어 ▁아 이 나 비 ▁ Q X D 8 000 m in i,팅크웨어 아이나비 QXD8000 ##mi ##n ##i
127,게스 남성 기모 D톤 슬림 스트레이트 MN4D9170,38480,패션의류,남성의류,▁게스 ▁남성 ▁기모 ▁D톤 ▁슬림 ▁스트레이트 ▁M N4D91 7 0,게스 남성 기모 D톤 슬림 스트레이트 MN ##4 ##D9 ##17 ##0
128,앤나인 쇼시 Slash9,39900,디지털/가전,이미용가전,▁앤 나 인 ▁쇼 시 ▁S l a s h 9,앤나인 쇼시 Sla ##s ##h ##9
129,라코스테 여성 케이블 크루넥 가디건 AF090E-53N,178320,패션의류,여성의류,▁라코스테 ▁여성 ▁케이블 ▁크루넥 ▁가디건 ▁AF 090 E-53N,라코스테 여성 케이블 크루넥 가디건 AF ##090 ##E - 53N
130,한라홀딩스 HL만도 HMF10 (2채널),134100,디지털/가전,자동차기기,▁ 한 라 <unk> 딩 스 ▁H L 만 도 ▁H M F 10 ▁( 2 <unk> 널 ),한라홀딩스 HL만도 H ##M ##F ##10 ( 2채널 )
131,크리에이티브 BT-W5,69900,디지털/가전,네트워크장비,▁크 리 에 이 티브 ▁B T - W 5,크리에이티브 BT - W ##5
132,프로젝트엠 정품100 프로젝트M 여성 기모 슬림 슬랙스 EPD4PP2002,21000,패션의류,여성의류,▁프로젝트엠 ▁정품100 ▁프로젝트M ▁여성 ▁기모 ▁슬림 ▁슬랙스 ▁EPD4PP 200 2,프로젝트엠 정품100 프로젝트M 여성 기모 슬림 슬랙스 EPD4 ##PP ##2002
133,저스트마이사이즈 라이크라 어댑티브 밸런스핏 브라팬티 패키지,101910,패션의류,여성언더웨어/잠옷,▁ 저 스트 마 이 사이즈 ▁라 이크 라 ▁어 댑 티브 ▁ 밸런스 핏 ▁브라팬티 ▁패 키지,저스트 ##마 ##이 ##사이즈 라이 ##크 ##라 어댑 ##티브 밸 ##런스 ##핏 브라팬티 패키지
134,LG전자 그램 프로360 16TD90SP-KX56K,2179000,디지털/가전,노트북,▁L G 전 자 ▁ 그 램 ▁프로 36 0 ▁1 6 TD 90 S P - K X 56 K,LG전자 그 ##램 프로360 16 ##T ##D90 ##SP - K ##X ##56K
135,씨게이트 1테라 외장하드 1TB [네이버 도착보장 + 데이터복구 + 파우치증정],99900,디지털/가전,저장장치,▁씨 게 이트 ▁1 테 라 ▁외 장 하 드 ▁1 T B ▁[ 네 이 버 ▁도 착 보 장 ▁ + ▁데 이 터 복 구 ▁ + ▁파 우 치 <unk> 정 ],씨게이트 1테라 외장하드 1TB [ 네이버 도착보장 + 데이터복구 + 파우치증정 ]
136,슈피겐 갤럭시 S24 울트라 케이스 투명 울트라하이브리드,19900,디지털/가전,휴대폰액세서리,▁슈 피 겐 ▁ <unk> <unk> 시 ▁S 24 ▁울 트 라 ▁케이 스 ▁투 명 ▁울 트 라 하 이브 리드,슈피겐 갤럭시 S24 울트라 케이스 투명 울트라하이브리드
137,오닉스 북스 포크5 6인치 이북리더기 전자책 2+32GB / 케이스 미포함,157060,디지털/가전,학습기기,▁오 닉 스 ▁ <unk> 스 ▁포 크 5 ▁6 인 치 ▁이 <unk> 리 더 기 ▁전 자 <unk> ▁2 + 3 2 G B ▁ / ▁케이 스 ▁미 포 <unk>,오닉스 북스 포크5 6인치 이북리더기 전자책 2 + 32GB / 케이스 미 ##포함
138,미아크 에어팟 3세대 캐리어 케이스,18600,디지털/가전,음향가전,▁미 아 크 ▁에어 <unk> ▁3 세 대 ▁캐 리 어 ▁케이 스,미아크 에어팟 3세대 캐리어 케이스
139,아이엠듀 갤럭시워치5 / 5프로 / 4 / 4클래식 가죽 커브형 시계줄 밴드 스트랩,14400,디지털/가전,휴대폰액세서리,▁아 이 엠 듀 ▁ <unk> <unk> 시 워 치 5 ▁ / ▁5 프 로 ▁ / ▁4 ▁ / ▁4 클 래식 ▁가 죽 ▁커 브 형 ▁시 계 줄 ▁ 밴드 ▁스트 랩,아이엠듀 갤럭시워치5 / 5 ##프로 / 4 / 4 ##클 ##래식 가죽 커브형 시계줄 밴드 스트랩
140,닌텐도 스플래툰3 한글판(SWITCH),37290,디지털/가전,게임기/타이틀,▁ 닌 텐 도 ▁스 플 래 <unk> 3 ▁ 한 글 판 ( SW I TC H ),닌텐도 스플래툰3 한글판 ( SWITCH )
141,아이닉 AO-16L,151300,디지털/가전,주방가전,▁아 이 닉 ▁A O - 16 L,아이닉 AO - 16L
142,리스트 금장 버튼 라펠 칼라 원피스 TWWOPM80010,62000,패션의류,여성의류,▁리스트 ▁금장 ▁버튼 ▁라펠 ▁칼라 ▁원피스 ▁TWWOP M8 00 10,리스트 금장 버튼 라펠 칼라 원피스 TWWOP ##M800 ##10
143,[미국백화점]폴로 가디건 니트 걸즈 걸스 랄프로렌 블랙 화이트 핑크 헌터네이비XL L,76800,패션의류,여성의류,▁[미국백화점] 폴로 ▁가디건 ▁니트 ▁걸즈 ▁걸스 ▁랄프로렌 ▁블랙 ▁화이트 ▁핑크 ▁헌터네이비XL ▁L,[ 미국백화점 ] 폴로 가디건 니트 걸즈 걸스 랄프로렌 블랙 화이트 핑크 헌터네이비XL L
144,(초코하트추가)하트봉봉 피치기모 커플 파자마 겨울 잠옷 홈웨어,19900,패션의류,여성언더웨어/잠옷,▁( 초 코 하트 추가) 하트 봉 봉 ▁피치기모 ▁커플 ▁파자마 ▁겨울 ▁잠옷 ▁홈웨어,( 초 ##코 ##하트 ##추가 ) 하트 ##봉 ##봉 피치기모 커플 파자마 겨울 잠옷 홈웨어
145,엡손 L3256 정품무한잉크,169000,디지털/가전,주변기기,▁ <unk> <unk> ▁L 3 25 6 ▁정품 무 한 잉 크,엡 ##손 L ##325 ##6 정품무한잉크
146,삼성전자 갤럭시탭 A9 플러스 SM-X210N WIFI 64GB,328990,디지털/가전,태블릿PC,▁삼 성 전 자 ▁ <unk> <unk> 시 탭 ▁A 9 ▁플 러 스 ▁S M - X 21 0 N ▁W I F I ▁6 4 G B,삼성전자 갤럭시탭 A ##9 플러스 SM - X ##210 ##N WIFI 64GB
147,올젠 언퀼팅 후드 퍼 다운 점퍼 ZMC4FP1903,107880,패션의류,남성의류,▁올젠 ▁언 퀼팅 ▁후드 ▁퍼 ▁다운 ▁점퍼 ▁ZMC4FP 19 03,올젠 언 ##퀼팅 후드 퍼 다운 점퍼 ZMC4FP1 ##90 ##3
148,삼성전자 JBL FLIP 6,119900,디지털/가전,음향가전,▁삼 성 전 자 ▁J BL ▁F L I P ▁6,삼성전자 JBL F ##LI ##P 6
149,로랜텍 커널형 버즈 무선 블루투스 이어폰 RSM-R510,15900,디지털/가전,음향가전,▁로 랜 텍 ▁커 널 형 ▁버 즈 ▁무 선 ▁블루 투 스 ▁이 어 폰 ▁R S M - R 510,로랜텍 커 ##널 ##형 버즈 무선 블루투스 이어폰 RS ##M - R510
150,비비안 histore 여성팬티 노라인 햄팬티 여자팬티,3800,패션의류,여성언더웨어/잠옷,▁비비안 ▁histore ▁여성팬티 ▁노라인 ▁햄팬티 ▁여자 팬티,비비안 histore 여성팬티 노라인 햄팬티 여자팬티
151,삼성전자 스마트모니터 M7 S43BM701,538740,디지털/가전,모니터,▁삼 성 전 자 ▁스 마 트 모 니 터 ▁M 7 ▁S 4 3 B M 7 01,삼성전자 스마트모니터 M7 S43BM7 ##01
